ds,ora,article,y,pret
7/10/2023,12:08,CAFE OU EAU,3,"1,00 €"
7/11/2023,12:09,PAIN BANETTE,2,"1,40 €"
7/12/2023,12:09,TRADITIONAL BAGUETTE,2,"1,20 €"
7/13/2023,12:10,GAL FRANGIPANE 4P,1,"8,00 €"
7/14/2023,12:10,TRADITIONAL BAGUETTE,1,"1,20 €"
7/15/2023,12:11,BANETTE,2,"1,05 €"
7/16/2023,12:11,GRAND FAR BRETON,1,"7,00 €"
7/17/2023,12:12,COUPE,1,"0,15 €"
7/18/2023,12:12,TRADITIONAL BAGUETTE,1,"1,20 €"
7/19/2023,12:12,CAMPAGNE,1,"1,80 €"
7/20/2023,12:12,BAGUETTE,1,"0,90 €"
7/21/2023,12:13,BAGUETTE,1,"0,90 €"
7/22/2023,12:13,GRAND FAR BRETON,1,"7,00 €"
7/23/2023,12:15,SPECIAL BREAD,1,"2,40 €"
7/24/2023,12:15,COUPE,1,"0,15 €"
7/25/2023,12:16,TRADITIONAL BAGUETTE,3,"1,20 €"
7/26/2023,12:18,COUPE,1,"0,15 €"
7/27/2023,12:18,BOULE 400G,1,"1,50 €"
7/28/2023,12:19,GAL FRANGIPANE 4P,2,"8,00 €"
7/29/2023,12:19,TRADITIONAL BAGUETTE,4,"1,20 €"
7/30/2023,12:20,TRADITIONAL BAGUETTE,1,"1,20 €"
7/31/2023,12:20,BAGUETTE,2,"0,90 €"
8/1/2023,12:21,TRADITIONAL BAGUETTE,1,"1,20 €"
8/2/2023,12:21,BAGUETTE,1,"0,90 €"
8/3/2023,12:21,BAGUETTE,4,"0,90 €"
8/4/2023,12:22,BAGUETTE,2,"0,90 €"
8/5/2023,12:22,COMPLET,1,"1,50 €"
8/6/2023,12:22,COUPE,1,"0,15 €"
8/7/2023,12:23,COMPLET,1,"1,50 €"
8/8/2023,12:23,TRADITIONAL BAGUETTE,1,"1,20 €"
8/9/2023,12:23,TRADITIONAL BAGUETTE,1,"1,20 €"
8/10/2023,12:23,BAGUETTE,1,"0,90 €"
8/11/2023,12:23,GRAND FAR BRETON,1,"7,00 €"
8/12/2023,12:24,TRADITIONAL BAGUETTE,2,"1,20 €"
